"#Populations.cell.cellparams.cm:[0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.34,0.37,0.4,0.43,0.46,0.49,0.52,0.55,0.58]"
"#Populations.cell.cellparams.b:[0.0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38]"
"[116, 0.034700000000000002, 1.0907324161117805e-14]","[68, 0.059000000000000011, 6.8261261567013413e-15]","[48, 0.08270000000000001, 6.2623482899402611e-15]","[37, 0.10669999999999999, 3.2455150844606412e-15]","[30, 0.13170000000000001, 3.4378720937260748e-15]","[25, 0.158, 2.8088607284470803e-15]","[21, 0.18579999999999999, 2.5605332781782977e-15]","[18, 0.21560000000000001, 1.5994067945042903e-15]","[16, 0.2477, 1.0282063405026474e-15]","[14, 0.28260000000000002, 1.6853587858080711e-15]","[12, 0.32090000000000002, 1.3789634727685292e-15]","[11, 0.36340000000000006, 1.1015316572610677e-15]","[9, 0.41109999999999997, 9.2572434763349754e-16]","[8, 0.46540000000000009, 6.9695347153884564e-16]","[7, 0.5283000000000001, 6.3045032630616488e-16]","[6, 0.60260000000000002, 5.9415228560395751e-16]","[5, 0.69299999999999995, 5.3134101100940086e-16]","[5, 0.80727499999999996, 0.00052096880992406381]","[4, 0.95876666666666666, 4.9167804553630687e-05]","[3, 1.1775999999999995, 3.7711379912539301e-16]"
"[20, 0.19843157894736843, 1.0058703428898281]","[18, 0.21810588235294115, 0.79534173287166554]","[16, 0.23248666666666667, 0.64008882839796477]","[15, 0.2672500000000001, 0.53794334213575457]","[13, 0.2802, 0.43851749964852876]","[12, 0.31575454545454551, 0.38842016926938]","[11, 0.35198999999999991, 0.34874684716163945]","[10, 0.38907777777777786, 0.31518206336677196]","[9, 0.42715000000000009, 0.28527640510110619]","[8, 0.46629999999999999, 0.25696767259913589]","[7, 0.50653333333333339, 0.22893261479534202]","[7, 0.59403333333333352, 0.2421513193654628]","[6, 0.64285999999999999, 0.21497805145277452]","[5, 0.69320000000000004, 0.18395666954016934]","[5, 0.82504999999999984, 0.20396933494689018]","[4, 0.89170000000000027, 0.16709101250014902]","[4, 1.0964666666666667, 0.19485972366777427]","[3, 1.1968000000000001, 0.14112633689839557]","[2, 1.2988000000000004, 0.0]","[2, 1.7839999999999998, 0.0]"
"[10, 0.34282222222222225, 1.1676556745636575]","[10, 0.42275555555555555, 0.94976971098340179]","[9, 0.42832499999999996, 0.88313389728680303]","[8, 0.41995714285714286, 0.80877667948783427]","[8, 0.50714285714285712, 0.73011580334382731]","[7, 0.48944999999999994, 0.65423684242034186]","[7, 0.59090000000000009, 0.62263306107903915]","[6, 0.5630400000000001, 0.53459568559018944]","[6, 0.68259999999999998, 0.53682144965809531]","[5, 0.64119999999999999, 0.43174372247896481]","[5, 0.7828750000000001, 0.45734845099318699]","[4, 0.72316666666666685, 0.33022609634332506]","[4, 0.89000000000000012, 0.3685237847275859]","[4, 1.1136333333333335, 0.40782853708801786]","[3, 1.0005000000000002, 0.25147426286856595]","[3, 1.2854500000000002, 0.29938931891555476]","[2, 1.1161000000000003, 0.0]","[2, 1.4581, 0.0]","[2, 2.1031, 0.0]","[1, 0.0, 0.0]"
"[7, 0.49206666666666671, 1.2108816627056387]","[7, 0.60121666666666662, 1.0021390944546749]","[6, 0.5386200000000001, 0.99878675988471655]","[6, 0.64924000000000004, 0.88245357284432757]","[6, 0.76546000000000003, 0.80174368126385975]","[5, 0.65459999999999996, 0.78493317807990526]","[5, 0.79330000000000001, 0.74295007599759211]","[5, 0.94562500000000005, 0.69496365743224209]","[4, 0.76036666666666664, 0.57484544949948391]","[4, 0.94806666666666661, 0.59732940544210333]","[4, 1.1656333333333335, 0.60147588158565524]","[3, 0.85735000000000006, 0.35463929550358653]","[3, 1.0966000000000002, 0.40233448841874919]","[3, 1.4276499999999999, 0.44888453052218646]","[2, 0.96590000000000042, 0.0]","[2, 1.2298000000000004, 0.0]","[2, 1.6645000000000008, 0.0]","[2, 2.4665999999999997, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[6, 0.74428000000000005, 1.0901697068916911]","[5, 0.63109999999999988, 1.1427964943944253]","[5, 0.76555000000000017, 0.97254759171328653]","[5, 0.90287500000000032, 0.86299116297860212]","[4, 0.66000000000000014, 0.84188876412146307]","[4, 0.82006666666666661, 0.81988428954114456]","[4, 0.99199999999999988, 0.78810628715100828]","[4, 1.1796, 0.74544683701766434]","[3, 0.73829999999999996, 0.46160097521332794]","[3, 0.95475000000000021, 0.50426813301911499]","[3, 1.2265000000000004, 0.53901345291479841]","[3, 1.5471000000000001, 0.5595630534548508]","[2, 0.83450000000000024, 0.0]","[2, 1.0493000000000006, 0.0]","[2, 1.3760000000000003, 0.0]","[2, 1.9138000000000006, 0.0]","[2, 2.7932000000000001, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[5, 0.91457500000000003, 0.98165931752348856]","[4, 0.67033333333333323, 1.1423101744814599]","[4, 0.82440000000000013, 1.046318678439133]","[4, 0.98326666666666662, 0.95810509999736138]","[4, 1.1528666666666665, 0.86999742783237843]","[3, 0.6282500000000002, 0.58280939116593689]","[3, 0.83395000000000019, 0.61376581329815916]","[3, 1.06925, 0.63310731821370114]","[3, 1.3285500000000001, 0.64148884121786898]","[3, 1.6117500000000002, 0.63995656894679709]","[2, 0.71409999999999973, 0.0]","[2, 0.89539999999999997, 0.0]","[2, 1.1566000000000001, 0.0]","[2, 1.5570000000000004, 0.0]","[2, 2.1757999999999997, 0.0]","[2, 3.036, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[4, 0.88593333333333346, 1.2468547348123251]","[4, 1.0777333333333334, 1.021876297223528]","[4, 1.260666666666667, 0.87643994484893539]","[3, 0.7150000000000003, 0.74083916083916057]","[3, 0.92720000000000002, 0.73856773080241589]","[3, 1.1493, 0.73192377969198641]","[3, 1.38425, 0.72129311901751869]","[3, 1.6352500000000003, 0.70634459562758001]","[2, 0.59930000000000039, 0.0]","[2, 0.75619999999999976, 0.0]","[2, 0.97409999999999997, 0.0]","[2, 1.2920000000000003, 0.0]","[2, 1.7625000000000006, 0.0]","[2, 2.4100999999999999, 0.0]","[2, 3.2031000000000009, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[4, 1.2979000000000001, 0.8821602059581467]","[3, 0.76570000000000005, 0.87135954028993079]","[3, 0.9746999999999999, 0.84128449779419301]","[3, 1.18465, 0.81640146878824948]","[3, 1.4015500000000003, 0.79287217723235015]","[3, 1.6294999999999999, 0.76839521325559978]","[3, 1.8724000000000001, 0.74086733603930788]","[2, 0.62409999999999988, 0.0]","[2, 0.8113999999999999, 0.0]","[2, 1.0754000000000001, 0.0]","[2, 1.4533, 0.0]","[2, 1.9672000000000005, 0.0]","[2, 2.5972000000000004, 0.0]","[2, 3.3166000000000002, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[3, 0.94524999999999992, 0.948056069822798]","[3, 1.1709499999999997, 0.9025577522524445]","[3, 1.3831000000000002, 0.8663871014387966]","[3, 1.5978500000000002, 0.83302562818787729]","[3, 1.8216999999999999, 0.79892408190152064]","[2, 0.49180000000000001, 0.0]","[2, 0.65730000000000022, 0.0]","[2, 0.88429999999999964, 0.0]","[2, 1.2013000000000003, 0.0]","[2, 1.6267, 0.0]","[2, 2.1480000000000001, 0.0]","[2, 2.7397000000000005, 0.0]","[2, 3.3935, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[3, 1.3001000000000003, 0.95754172755941835]","[3, 1.5304999999999997, 0.90931068278340421]","[3, 1.7489499999999998, 0.86620543754824297]","[2, 0.35060000000000002, 0.0]","[2, 0.50099999999999989, 0.0]","[2, 0.70290000000000008, 0.0]","[2, 0.97930000000000028, 0.0]","[2, 1.3454000000000002, 0.0]","[2, 1.7917999999999998, 0.0]","[2, 2.2960000000000003, 0.0]","[2, 2.8465000000000003, 0.0]","[2, 3.4450999999999996, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[3, 1.6186000000000005, 0.95934758433213896]","[3, 1.8579000000000001, 0.90117875020184091]","[2, 0.32680000000000042, 0.0]","[2, 0.51440000000000063, 0.0]","[2, 0.76649999999999974, 0.0]","[2, 1.0952000000000002, 0.0]","[2, 1.4914999999999998, 0.0]","[2, 1.9345000000000003, 0.0]","[2, 2.4129, 0.0]","[2, 2.9260000000000002, 0.0]","[2, 3.4783000000000004, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[3, 1.9101999999999999, 0.95330331902418597]","[2, 0.28489999999999993, 0.0]","[2, 0.53509999999999991, 0.0]","[2, 0.85130000000000061, 0.0]","[2, 1.2202000000000002, 0.0]","[2, 1.6229999999999998, 0.0]","[2, 2.0508999999999999, 0.0]","[2, 2.5036, 0.0]","[2, 2.9842, 0.0]","[2, 3.4977999999999998, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[2, 0.17689999999999984, 0.0]","[2, 0.5671999999999997, 0.0]","[2, 0.9491000000000005, 0.0]","[2, 1.3353000000000002, 0.0]","[2, 1.7315, 0.0]","[2, 2.1423999999999999, 0.0]","[2, 2.5724000000000005, 0.0]","[2, 3.0255000000000005, 0.0]","[2, 3.5063, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[2, 0.58990000000000009, 0.0]","[2, 1.0333000000000001, 0.0]","[2, 1.4260000000000006, 0.0]","[2, 1.8147000000000002, 0.0]","[2, 2.2115, 0.0]","[2, 2.6227000000000005, 0.0]","[2, 3.0527000000000002, 0.0]","[2, 3.5058000000000002, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[2, 1.0590000000000002, 0.0]","[2, 1.4821999999999997, 0.0]","[2, 1.8716000000000004, 0.0]","[2, 2.2596000000000007, 0.0]","[2, 2.6561999999999992, 0.0]","[2, 3.0672999999999999, 0.0]","[2, 3.4972999999999996, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[2, 1.4779, 0.0]","[2, 1.8971999999999998, 0.0]","[2, 2.2858000000000001, 0.0]","[2, 2.6736000000000004, 0.0]","[2, 3.0701999999999998, 0.0]","[2, 3.4812999999999996, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[2, 1.8659000000000003, 0.0]","[2, 2.2845, 0.0]","[2, 2.673, 0.0]","[2, 3.0608000000000004, 0.0]","[2, 3.4573999999999998, 0.0]","[2, 3.8685000000000005, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[2, 2.2296999999999998, 0.0]","[2, 2.6483000000000003, 0.0]","[2, 3.0368000000000004, 0.0]","[2, 3.4245000000000001, 0.0]","[2, 3.8211999999999993, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[2, 2.5725000000000002, 0.0]","[2, 2.9911999999999996, 0.0]","[2, 3.3797000000000006, 0.0]","[2, 3.7675000000000001, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
"[2, 2.8966999999999996, 0.0]","[2, 3.3155000000000006, 0.0]","[2, 3.7040999999999995, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]","[1, 0.0, 0.0]"
